Name,ID,Available,NetPrice,WorkingORder,Text,Name
TARTIFLETTE - 31cm_201709,2,1,18.20,3,"Mozzarella, pommes de terre, lardons fumés, Reblochon, jambon cru",jambon - 31cm_201709
TARTIFLETTE - 31cm_201709,2,1,18.20,3,"Mozzarella, pommes de terre, lardons fumés, Reblochon, jambon cru",lardons fumés - 31cm_201709
TARTIFLETTE - 31cm_201709,2,1,18.20,3,"Mozzarella, pommes de terre, lardons fumés, Reblochon, jambon cru",merguez - 31cm_201709
TARTIFLETTE - 31cm_201709,2,1,18.20,3,"Mozzarella, pommes de terre, lardons fumés, Reblochon, jambon cru",Miel - 31 cm
TARTIFLETTE - 31cm_201709,2,1,18.20,3,"Mozzarella, pommes de terre, lardons fumés, Reblochon, jambon cru",œuf - 31cm_201709
TARTIFLETTE - 31cm_201709,2,1,18.20,3,"Mozzarella, pommes de terre, lardons fumés, Reblochon, jambon cru",oignons - 31cm_201709
TARTIFLETTE - 31cm_201709,2,1,18.20,3,"Mozzarella, pommes de terre, lardons fumés, Reblochon, jambon cru",pepperoni - 31cm_201709
TARTIFLETTE - 31cm_201709,2,1,18.20,3,"Mozzarella, pommes de terre, lardons fumés, Reblochon, jambon cru",poivrons - 31cm_201709
TARTIFLETTE - 31cm_201709,2,1,18.20,3,"Mozzarella, pommes de terre, lardons fumés, Reblochon, jambon cru",pommes de terre - 31cm_201709
TARTIFLETTE - 31cm_201709,2,1,18.20,3,"Mozzarella, pommes de terre, lardons fumés, Reblochon, jambon cru",poulet - 31cm_201709
TARTIFLETTE - 31cm_201709,2,1,18.20,3,"Mozzarella, pommes de terre, lardons fumés, Reblochon, jambon cru",Reblochon - 31 cm
TARTIFLETTE - 31cm_201709,2,1,18.20,3,"Mozzarella, pommes de terre, lardons fumés, Reblochon, jambon cru",Roquefort - 31 cm
TARTIFLETTE - 31cm_201709,2,1,18.20,3,"Mozzarella, pommes de terre, lardons fumés, Reblochon, jambon cru",Sans Crème Fraîche
