D.OrderHeaderID,D.PersonID,user_visit,H.NbDiners,nb_visits,avg_ticketU,pch_freq,visit_duration,TemperatureC,Humidity,Wind_Direction,Conditions,DoW,DoM,WoY,MoY,QoY,schedule,H,HMS
1234,10522,0,2,1,21.5,0.0,15.6534500002861,16,46,North,Clear,6,7,41,10,4,no_event,19,19:00:00
1234,10523,0,2,1,23.5,0.0,13.882433331012699,16,46,North,Clear,6,7,41,10,4,no_event,19,19:00:00
1228,10525,0,3,1,20.5,0.0,12.7069500009219,12,67,Variable,Clear,6,7,41,10,4,no_event,11,11:30:00
1228,10526,0,3,1,13.0,0.0,13.9131000002225,12,67,Variable,Clear,6,7,41,10,4,no_event,11,11:30:00
1235,10535,0,4,1,10.0,0.0,15.861616667111699,12,77,Calm,Mostly Cloudy,7,8,41,10,4,no_event,10,10:30:00
1235,10537,0,4,1,17.0,0.0,14.6799499988556,12,77,Calm,Mostly Cloudy,7,8,41,10,4,no_event,10,10:30:00
1235,10538,0,4,1,20.0,0.0,16.2771666646004,12,77,Calm,Mostly Cloudy,7,8,41,10,4,no_event,10,10:30:00
1236,10539,0,4,1,14.5,0.0,116.64610000054,12,77,Calm,Mostly Cloudy,7,8,41,10,4,no_event,10,10:30:00
1236,10541,0,4,1,14.5,0.0,91.494833334287,12,77,Calm,Mostly Cloudy,7,8,41,10,4,no_event,10,10:30:00
1236,10542,0,4,1,19.0,0.0,114.30143333276101,12,77,Calm,Mostly Cloudy,7,8,41,10,4,no_event,10,10:30:00
1237,10554,0,4,1,21.8,0.0,5.42616666555405,13,65,SE,Clear,7,8,41,10,4,no_event,11,11:00:00
1237,10556,0,4,1,37.5,0.0,5.322783335049951,13,65,SE,Clear,7,8,41,10,4,no_event,11,11:00:00
1237,10557,0,4,1,21.2,0.0,4.81906666755676,13,65,SE,Clear,7,8,41,10,4,no_event,11,11:00:00
1238,10558,0,3,1,16.5,0.0,51.4094500025113,15,67,Variable,Partly Cloudy,7,8,41,10,4,no_event,11,11:30:00
1238,10560,0,3,1,16.0,0.0,52.055000003178904,15,67,Variable,Partly Cloudy,7,8,41,10,4,no_event,11,11:30:00
1239,10562,0,3,1,43.5,0.0,49.3631166696548,16,48,ESE,Clear,7,8,41,10,4,no_event,12,12:00:00
1239,10563,0,3,1,22.0,0.0,49.211433335145294,16,48,ESE,Clear,7,8,41,10,4,no_event,12,12:00:00
1239,10565,0,3,1,21.5,0.0,49.0912333329519,16,48,ESE,Clear,7,8,41,10,4,no_event,12,12:00:00
1240,10572,0,2,1,16.0,0.0,38.364616664250704,18,49,Variable,Clear,7,8,41,10,4,no_event,17,17:30:00
1240,10573,0,2,1,40.5,0.0,37.3687166690826,18,49,Variable,Clear,7,8,41,10,4,no_event,17,17:30:00
1240,10575,0,2,1,32.0,0.0,37.4871166666349,18,49,Variable,Clear,7,8,41,10,4,no_event,17,17:30:00
1241,10576,0,4,1,16.0,0.0,4.66459999879201,17,48,NW,Clear,7,8,41,10,4,no_event,18,18:30:00
1241,10577,0,4,1,19.5,0.0,7.8260666648546895,17,48,NW,Clear,7,8,41,10,4,no_event,18,18:30:00
1241,10579,0,4,1,61.5,0.0,6.9131666660308815,17,48,NW,Clear,7,8,41,10,4,no_event,18,18:30:00
1242,10584,0,2,1,36.0,0.0,12.820883329709401,13,67,North,Clear,7,8,41,10,4,no_event,20,20:30:00
1242,10585,0,2,1,33.0,0.0,12.215000001589502,13,67,North,Clear,7,8,41,10,4,no_event,20,20:30:00
1242,10587,0,2,1,36.0,0.0,13.083050000667601,13,67,North,Clear,7,8,41,10,4,no_event,20,20:30:00
1243,10592,0,1,1,25.0,0.0,8.54955000082652,18,42,NNE,Clear,1,9,41,10,4,no_event,18,18:30:00
1244,10594,0,2,1,14.0,0.0,126.513616669178,18,42,NNE,Clear,1,9,41,10,4,no_event,18,18:30:00
1245,10597,0,2,1,17.5,0.0,4.78399999936422,18,42,NNE,Clear,1,9,41,10,4,no_event,18,18:30:00
1245,10598,0,2,1,17.0,0.0,4.11866666475932,18,42,NNE,Clear,1,9,41,10,4,no_event,18,18:30:00
1246,10600,0,1,1,20.0,0.0,44.10604999860129,12,58,ENE,Partly Cloudy,2,10,41,10,4,no_event,10,10:30:00
1247,10606,0,2,1,19.0,0.0,4.47566666603088,14,48,ENE,Clear,2,10,41,10,4,no_event,11,11:30:00
1248,10607,0,1,1,18.0,0.0,55.8769000013669,17,23,North,Clear,2,10,41,10,4,no_event,18,18:00:00
1249,10609,0,2,1,22.5,0.0,7.54866666396459,16,36,North,Clear,2,10,41,10,4,no_event,18,18:30:00
1250,10611,0,2,1,22.5,0.0,13.861616667111699,16,36,North,Clear,2,10,41,10,4,no_event,18,18:30:00
1250,10612,0,2,1,22.5,0.0,13.897000002860999,16,36,North,Clear,2,10,41,10,4,no_event,18,18:30:00
1252,10613,0,1,1,4.5,0.0,1.18445000251134,14,41,North,Clear,2,10,41,10,4,no_event,19,19:30:00
1251,10616,0,2,1,14.0,0.0,65.20916666587189,16,36,North,Clear,2,10,41,10,4,no_event,18,18:30:00
1253,10621,0,2,1,19.0,0.0,3.4495000004768404,10,51,NE,Clear,3,11,41,10,4,no_event,10,10:00:00
1253,10622,0,2,1,21.5,0.0,1.99383333524068,10,51,NE,Clear,3,11,41,10,4,no_event,10,10:00:00
1254,10626,0,2,1,20.5,0.0,5.8524999976158085,12,46,ENE,Clear,3,11,41,10,4,no_event,11,11:00:00
1255,10627,0,4,1,16.0,0.0,14.594266664981804,15,30,ENE,Clear,3,11,41,10,4,no_event,18,18:00:00
1255,10628,0,4,1,22.5,0.0,14.3088333328565,15,30,ENE,Clear,3,11,41,10,4,no_event,18,18:00:00
1255,10630,0,4,1,22.5,0.0,13.346833332379699,15,30,ENE,Clear,3,11,41,10,4,no_event,18,18:00:00
1256,10631,0,2,1,20.0,0.0,106.62039999961901,15,42,ENE,Clear,3,11,41,10,4,no_event,18,18:30:00
1256,10632,0,2,1,20.0,0.0,21.9257333318392,15,42,ENE,Clear,3,11,41,10,4,no_event,18,18:30:00
1257,10634,0,2,1,18.0,0.0,91.74211666584007,15,42,ENE,Clear,3,11,41,10,4,no_event,18,18:30:00
1258,10635,0,2,1,23.0,0.0,5.82361666361491,14,31,ENE,Clear,3,11,41,10,4,no_event,19,19:00:00
1258,10636,0,2,1,22.5,0.0,5.75588333209356,14,31,ENE,Clear,3,11,41,10,4,no_event,19,19:00:00
1258,10638,0,2,1,22.5,0.0,6.41550000111262,14,31,ENE,Clear,3,11,41,10,4,no_event,19,19:00:00
1259,10641,0,1,1,15.7,0.0,3.0931666692098,10,42,East,Clear,4,12,41,10,4,no_event,10,10:00:00
1259,10642,0,1,1,33.5,0.0,159.231999997298,10,42,East,Clear,4,12,41,10,4,no_event,10,10:00:00
1260,10647,0,2,1,10.5,0.0,145.384599999587,11,54,East,Clear,4,12,41,10,4,no_event,10,10:30:00
1261,10652,0,4,1,24.0,0.0,5.460783334573112,12,47,ENE,Overcast,4,12,41,10,4,no_event,11,11:30:00
1261,10653,0,4,1,13.0,0.0,5.5213333328565,12,47,ENE,Overcast,4,12,41,10,4,no_event,11,11:30:00
1261,10655,0,4,1,17.5,0.0,109.178599997362,12,47,ENE,Overcast,4,12,41,10,4,no_event,11,11:30:00
1261,10656,0,4,1,17.5,0.0,53.9376666665077,12,47,ENE,Overcast,4,12,41,10,4,no_event,11,11:30:00
1261,10657,0,4,1,16.0,0.0,4.601933332284291,12,47,ENE,Overcast,4,12,41,10,4,no_event,11,11:30:00
1262,10659,0,1,1,16.0,0.0,16.6893333355586,13,58,East,Light Rain,4,12,41,10,4,no_event,18,18:30:00
1262,10660,0,1,1,17.0,0.0,15.5197166641553,13,58,East,Light Rain,4,12,41,10,4,no_event,18,18:30:00
1262,10661,0,1,1,19.2,0.0,22.847783335049897,13,58,East,Light Rain,4,12,41,10,4,no_event,18,18:30:00
1263,10663,0,3,1,17.2,0.0,79.5928333322207,12,57,ENE,Light Rain,4,12,41,10,4,no_event,19,19:00:00
1263,10665,0,3,1,17.0,0.0,32.6239000002543,12,57,ENE,Light Rain,4,12,41,10,4,no_event,19,19:00:00
1264,10667,0,3,1,17.0,0.0,11.5782166639964,13,88,ENE,Overcast,5,13,41,10,4,no_event,10,10:30:00
1264,10669,0,3,1,14.0,0.0,2.2141666650772103,13,88,ENE,Overcast,5,13,41,10,4,no_event,10,10:30:00
1265,10683,0,2,1,13.0,0.0,2.9469499985377,16,67,Calm,Clear,5,13,41,10,4,no_event,18,18:00:00
1265,10684,0,2,1,14.0,0.0,3.54933333396912,16,67,Calm,Clear,5,13,41,10,4,no_event,18,18:00:00
1266,10686,0,2,1,13.0,0.0,6.24038333495458,16,67,Calm,Clear,5,13,41,10,4,no_event,18,18:00:00
1267,10689,0,4,1,18.5,0.0,6.76883333524068,16,73,WNW,Clear,5,13,41,10,4,no_event,19,19:00:00
1267,10690,0,4,1,22.0,0.0,3.6080500006675695,16,73,WNW,Clear,5,13,41,10,4,no_event,19,19:00:00
1267,10692,0,4,1,19.0,0.0,5.90121666590373,16,73,WNW,Clear,5,13,41,10,4,no_event,19,19:00:00
1268,10701,0,2,1,16.0,0.0,31.34071666797,13,79,NW,Clear,6,14,42,10,4,no_event,11,11:00:00
1268,10702,0,2,1,15.5,0.0,15.2943333347638,13,79,NW,Clear,6,14,42,10,4,no_event,11,11:00:00
1270,10704,0,2,1,10.0,0.0,2.8098833322525,14,76,NNW,Clear,6,14,42,10,4,no_event,12,12:00:00
1270,10705,0,2,1,16.0,0.0,5.437000000476838,14,76,NNW,Clear,6,14,42,10,4,no_event,12,12:00:00
1271,10711,0,2,1,18.5,0.0,2.31938333113988,17,59,WNW,Scattered Clouds,6,14,42,10,4,no_event,17,17:30:00
1272,10713,0,4,1,10.0,0.0,5.13416666587194,16,53,NW,Clear,6,14,42,10,4,no_event,18,18:00:00
1272,10714,0,4,1,12.5,0.0,11.967899998029099,16,53,NW,Clear,6,14,42,10,4,no_event,18,18:00:00
1272,10715,0,4,1,10.0,0.0,2.99750000238419,16,53,NW,Clear,6,14,42,10,4,no_event,18,18:00:00
1273,10718,0,3,1,10.0,0.0,11.794099998474099,15,67,West,Partly Cloudy,6,14,42,10,4,no_event,18,18:30:00
1273,10719,0,3,1,32.0,0.0,14.0797166665395,15,67,West,Partly Cloudy,6,14,42,10,4,no_event,18,18:30:00
1273,10720,0,3,1,24.5,0.0,15.9568833311399,15,67,West,Partly Cloudy,6,14,42,10,4,no_event,18,18:30:00
1274,10722,0,4,1,30.0,0.0,16.384666665395102,15,61,West,Clear,6,14,42,10,4,no_event,19,19:00:00
1274,10723,0,4,1,16.0,0.0,16.5006166656812,15,61,West,Clear,6,14,42,10,4,no_event,19,19:00:00
1274,10724,0,4,1,10.0,0.0,17.5880499998728,15,61,West,Clear,6,14,42,10,4,no_event,19,19:00:00
1275,10732,0,2,1,24.0,0.0,9.0779499967893,15,61,West,Clear,6,14,42,10,4,no_event,19,19:00:00
1276,10733,0,2,1,21.0,0.0,7.28866666555405,15,61,West,Clear,6,14,42,10,4,no_event,19,19:00:00
1276,10734,0,2,1,20.5,0.0,6.10971666574478,15,61,West,Clear,6,14,42,10,4,no_event,19,19:00:00
1277,10739,0,2,1,15.5,0.0,66.9040500005086,13,77,SE,Clear,7,15,42,10,4,no_event,10,10:30:00
1278,10740,0,2,1,14.0,0.0,77.545733332634,13,77,SE,Clear,7,15,42,10,4,no_event,10,10:30:00
1278,10741,0,2,1,23.0,0.0,76.59776666561758,13,77,SE,Clear,7,15,42,10,4,no_event,10,10:30:00
1281,10743,0,4,1,38.5,0.0,17.958899998664894,14,64,SE,Clear,7,15,42,10,4,no_event,11,11:00:00
1281,10744,0,4,1,16.0,0.0,7.98443333705266,14,64,SE,Clear,7,15,42,10,4,no_event,11,11:00:00
1281,10745,0,4,1,21.5,0.0,6.98788333336512,14,64,SE,Clear,7,15,42,10,4,no_event,11,11:00:00
1279,10747,0,2,1,20.7,0.0,5.45299999713898,14,64,SE,Clear,7,15,42,10,4,no_event,11,11:00:00
1280,10748,0,3,1,17.0,0.0,6.118716665109,14,64,SE,Clear,7,15,42,10,4,no_event,11,11:00:00
1280,10750,0,3,1,17.0,0.0,8.52778333425522,14,64,SE,Clear,7,15,42,10,4,no_event,11,11:00:00
1282,10752,0,2,1,17.5,0.0,21.6359999974569,15,72,SSE,Clear,7,15,42,10,4,no_event,11,11:30:00
