,mean_visit_duration,median_visit_duration,std_visit_duration
COMTOISE - 26cm Anchois - 26 cm  ID3,56.82252246806359,55.793622302919786,33.218796639761294
COMTOISE - 26cm Artichaut - 26 cm  ID3,56.82252246806359,55.793622302919786,33.218796639761294
COMTOISE - 26cm  - bœuf épicé  ID3,56.82252246806359,55.793622302919786,33.218796639761294
COMTOISE - 26cm  - câpres  ID3,56.79255060068013,55.793622302919786,33.29519703265902
COMTOISE - 26cm  - champignons frais  ID3,56.67105047704753,55.41950546024514,33.29519703265902
COMTOISE - 26cm  - chorizo  ID3,56.82252246806359,55.793622302919786,33.218796639761294
COMTOISE - 26cm  - crème fraîche  ID3,56.79255060068013,55.793622302919786,33.29519703265902
COMTOISE - 26cm  - double mozzarella  ID3,56.67105047704753,55.41950546024514,33.29519703265902
COMTOISE - 26cm  - fromage de chèvre  ID3,56.67105047704753,55.41950546024514,33.29519703265902
COMTOISE - 26cm  - jambon  ID3,56.82252246806359,55.793622302919786,33.218796639761294
COMTOISE - 26cm  - lardons fumés  ID3,56.82252246806359,55.793622302919786,33.218796639761294
COMTOISE - 26cm  - merguez  ID3,56.79255060068013,55.793622302919786,33.29519703265902
COMTOISE - 26cm Miel - 26 cm  ID3,57.442198100098864,56.57533528651654,35.17235851239897
COMTOISE - 26cm Noix - 26 cm  ID3,57.442198100098864,56.57533528651654,35.17235851239897
COMTOISE - 26cm Oeuf - 26 cm  ID3,57.442198100098864,56.57533528651654,35.17235851239897
COMTOISE - 26cm  - œuf  ID3,57.442198100098864,56.57533528651654,35.17235851239897
COMTOISE - 26cm  - oignons  ID3,56.181032036580135,55.23988312325727,33.218796639761294
COMTOISE - 26cm Olives 26  ID3,56.181032036580135,55.23988312325727,33.218796639761294
COMTOISE - 26cm  - pepperoni  ID3,57.442198100098864,56.57533528651654,35.17235851239897
COMTOISE - 26cm  - poivrons  ID3,56.79255060068013,55.793622302919786,33.29519703265902
COMTOISE - 26cm  - pommes de terre  ID3,56.67105047704753,55.41950546024514,33.29519703265902
COMTOISE - 26cm  - poulet  ID3,56.82252246806359,55.793622302919786,33.218796639761294
COMTOISE - 26cm Reblochon - 26 cm  ID3,56.82252246806359,55.793622302919786,33.218796639761294
COMTOISE - 26cm Roquefort - 26 cm  ID3,56.82252246806359,55.793622302919786,33.218796639761294
COMTOISE - 26cm Sans Cancoillotte  ID3,56.92863130015699,55.41950546024514,33.4217045980307
