ID,ProductID,Name,ProductGroupID,Name,GrossPrice,NetPrice,GuidedActivityID,WorkingOrder
20,20,SUNSET - 31cm_201709,1003,Plat Pizzas Double Double,0.00000,17.00,11,3
21,21,CHEESE - 26cm_201709,7,Fromage base sauce tomate_201709,0.00000,11.00,11,3
21,21,CHEESE - 26cm_201709,34,GA Plat Menu Liberty_201709,0.00000,11.00,11,3
21,21,CHEESE - 26cm_201709,38,GA Plat Menu Ciné_201709,0.00000,11.00,11,3
22,22,CHEESE - 31cm_201709,7,Fromage base sauce tomate_201709,0.00000,16.50,11,3
22,22,CHEESE - 31cm_201709,1002,Entrées Pizzas Double Double,0.00000,16.50,11,3
22,22,CHEESE - 31cm_201709,1003,Plat Pizzas Double Double,0.00000,16.50,11,3
23,23,NEVADA - 26cm_201709,7,Fromage base sauce tomate_201709,0.00000,7.60,11,3
23,23,NEVADA - 26cm_201709,34,GA Plat Menu Liberty_201709,0.00000,7.60,11,3
23,23,NEVADA - 26cm_201709,38,GA Plat Menu Ciné_201709,0.00000,7.60,11,3
23,23,NEVADA - 26cm_201709,42,GA Plat Menu Kids_201709,0.00000,7.60,11,3
24,24,NEVADA - 31cm_201709,7,Fromage base sauce tomate_201709,0.00000,11.40,11,3
24,24,NEVADA - 31cm_201709,1002,Entrées Pizzas Double Double,0.00000,11.40,11,3
24,24,NEVADA - 31cm_201709,1003,Plat Pizzas Double Double,0.00000,11.40,11,3
25,25,CAPRICORNE - 26cm_201709,7,Fromage base sauce tomate_201709,0.00000,9.50,11,3
25,25,CAPRICORNE - 26cm_201709,34,GA Plat Menu Liberty_201709,0.00000,9.50,11,3
25,25,CAPRICORNE - 26cm_201709,38,GA Plat Menu Ciné_201709,0.00000,9.50,11,3
26,26,CAPRICORNE - 31cm_201709,7,Fromage base sauce tomate_201709,0.00000,14.00,11,3
26,26,CAPRICORNE - 31cm_201709,1002,Entrées Pizzas Double Double,0.00000,14.00,11,3
26,26,CAPRICORNE - 31cm_201709,1003,Plat Pizzas Double Double,0.00000,14.00,11,3
27,27,VEGETARIENNE - 26cm_201709,8,Légumes base sauce tomate_201709,0.00000,9.50,11,3
27,27,VEGETARIENNE - 26cm_201709,34,GA Plat Menu Liberty_201709,0.00000,9.50,11,3
27,27,VEGETARIENNE - 26cm_201709,38,GA Plat Menu Ciné_201709,0.00000,9.50,11,3
28,28,VEGETARIENNE - 31cm_201709,8,Légumes base sauce tomate_201709,0.00000,14.30,11,3
